Category,Subcategory,Title,Price,Rating,URL
Appliances,"1-16 of over 20,000 results for","KENT Classic Air Fryer | 1300W Power & 4L Capacity | Fry, Grill, Roast & Bake | Auto Cut-Off | Up To 80% Less Oil Usage | High Temperature & Uniform Heating | Black","4,500",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjczMDcwODYwMDQ2ODUyOjE3NDUxNjg5OTI6c3BfYXRmOjIwMDgxOTA0Njc2MjA3OjowOjo&url=%2FKENT-1300W-Classic-Fryer-Black%2Fdp%2FB09G75BMW4%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g%26dib_tag%3Dse%26keywords%3DAppliances%26qid%3D1745168992%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Appliances,"1-16 of over 20,000 results for","KAFF KFR5 Air Fryer for Home 5L, 1500W with Digital Control | Fry, Roast, Broil, Bake, Reheat | 5 Preset Control, LED Display & Touch Control, Rapid Air Technology & Transparent Window (Black)","4,490",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjczMDcwODYwMDQ2ODUyOjE3NDUxNjg5OTI6c3BfYXRmOjMwMDM3NTkzOTc2ODYzMjo6MDo6&url=%2FKAFF-KFR5-Digital-Technology-Transparent%2Fdp%2FB0DFWSJNF8%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g%26dib_tag%3Dse%26keywords%3DAppliances%26qid%3D1745168992%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Appliances,"1-16 of over 20,000 results for","Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jar, Silver) - 2 Year Warranty",999,,https://www.amazon.in/NutriPro-Bullet-Juicer-Grinder-Blades/dp/B09J2T124D/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g&dib_tag=se&keywords=Appliances&qid=1745168992&sr=8-3
Appliances,"1-16 of over 20,000 results for","Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green","3,099",,https://www.amazon.in/Pigeon-Healthifry-Circulation-Technology-Non-Stick/dp/B0B8XNPQPN/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g&dib_tag=se&keywords=Appliances&qid=1745168992&sr=8-4
Appliances,"1-16 of over 20,000 results for",Pigeon 2 Slice Auto Pop up Toaster. A Smart Bread Toaster for Your Home (750 Watt) (Black),"1,099",,https://www.amazon.in/Pigeon-2-Slice-Pop-up-Toaster-Black/dp/B06XPYRWV5/ref=sr_1_5?dib=eyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g&dib_tag=se&keywords=Appliances&qid=1745168992&sr=8-5
Appliances,"1-16 of over 20,000 results for","Prestige PGMFB 800 Watt Grill Sandwich Toaster with Fixed Grill Plates, Black",999,,https://www.amazon.in/Prestige-PGMFB-Sandwich-Toaster-Plates/dp/B00935MGKK/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g&dib_tag=se&keywords=Appliances&qid=1745168992&sr=8-6
Appliances,"1-16 of over 20,000 results for",Portable Blender For Smoothie And Juices : Powerful 40 Watts Juicer Blender that Can Crush Ice too | Juicer Machine With 1800 Mah Rechargeable Battery-Smoothie Blender With Built In 400 ML Jar,699,,https://www.amazon.in/Qlect-Portable-Blender-Smoothie-Juices/dp/B0DHX5QSM2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g&dib_tag=se&keywords=Appliances&qid=1745168992&sr=8-7
Appliances,"1-16 of over 20,000 results for","Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop With Crystal Glass,7 Segments LED Display, Auto Switch Off - Black","1,299",,https://www.amazon.in/Pigeon-Stovekraft-Cruise-1800-Watt-Induction/dp/B01GFTEV5Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g&dib_tag=se&keywords=Appliances&qid=1745168992&sr=8-8
Appliances,"1-16 of over 20,000 results for","AGARO Classic Automatic Yogurt Maker Machine for Home, 1.2L Large Capacity, Electric Probiotic Curd Maker with Auto Temperature Regulation, 304 Stainless Steel Inner Container, for Smoothies, Spreads",599,,https://www.amazon.in/AGARO-Portable-Capacity-Automatic-33603/dp/B09G2VTHQM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g&dib_tag=se&keywords=Appliances&qid=1745168992&sr=8-9
Appliances,"1-16 of over 20,000 results for",Mini Mixer Grinder Machine for Kitchen Mixer Grinder Multi Functional Coffee Herbs Spices Nuts Grain Seasonings Spices Mill Powder Machine Stainless Steel Mixie Small Kitchen Appliance,545,,https://www.amazon.in/ARDAKI-Functional-Seasonings-Stainless-Appliance/dp/B0DNN4KL4C/ref=sr_1_10?dib=eyJ2IjoiMSJ9.nbfniRbhMCmU36GfJwK-BRNawmG3d1z62Jyp0yBSCkl6kuYgu2R5or_vRvQhsHdJ0DtOBVCdvbisPtVg3s55ShQoRPcCKCIftjCNLSH7WXqLyv_RhSSQz59EatzhqUBz6yOg64tLAiblwN-FYbsQkn1x31zOwmb8kOY31bULR9LSzpuYmAbRvlCFoCVDLxAdsAXTD5zJUJg2YY5pZweV5v2lyFSjRAEhN93uJ7jyY4I.0g-w1s54ijtgBrpIo6lQhhsUfPvod_m47GbQeckFz-g&dib_tag=se&keywords=Appliances&qid=1745168992&sr=8-10
